source,target,value
substations,grid status quo,30.4241062
overhead lines,grid status quo,10.11191404
cables,grid status quo,12.18696443
switchgears,grid status quo,11.95836469
transformers,grid status quo,2.625490034
aluminium,cables,15.34765995
copper,cables,2.188010995
iron & steel,cables,0.356674808
other materials,cables,4.294618668
aluminium,overhead lines,17.26431325
concrete & cement,overhead lines,1.996495151
copper,overhead lines,1.474951114
iron & steel,overhead lines,8.813071823
other materials,overhead lines,0.563082698
concrete & cement,substations,329.6236355
iron & steel,substations,0.800470701
SF6,switchgears,0.510415064
aluminium,switchgears,0.322723482
copper,switchgears,0.047469899
iron & steel,switchgears,0.039472597
other materials,switchgears,5.792883418
aluminium,transformers,0.806764519
copper,transformers,0.523788955
iron & steel,transformers,0.675268601
other materials,transformers,0.61966794
SF6,other materials,0.48983071
aluminium (process),aluminium,4.464395673
aluminium (process),copper,0.020457385
clinker,aluminium,0.074119431
clinker,concrete & cement,199.3028876
clinker,copper,0.049443388
clinker,other materials,0.047173983
clinker,iron & steel,0.17751049
coal,aluminium,3.116367091
coal,concrete & cement,5.903586688
coal,copper,0.257141856
coal,other materials,0.430808575
coal,iron & steel,1.460206822
electricity,aluminium,17.81878895
electricity,concrete & cement,38.83288761
electricity,copper,2.312411103
electricity,other materials,2.736682798
electricity,iron & steel,1.410953835
heat,aluminium,5.449067532
heat,concrete & cement,4.219771014
heat,copper,0.494020572
heat,other materials,3.251456278
heat,iron & steel,0.184145876
iron & steel (process),aluminium,0.090688017
iron & steel (process),concrete & cement,2.652986456
iron & steel (process),copper,0.047525125
iron & steel (process),other materials,0.06253909
iron & steel (process),iron & steel,5.851126814
other processes,aluminium,1.371622427
other processes,concrete & cement,28.94915259
other processes,copper,0.578343967
other processes,other materials,3.852960155
other processes,iron & steel,0.693803123
transport,aluminium,0.989464779
transport,concrete & cement,47.09767821
transport,copper,0.385816697
transport,other materials,0.627525326
transport,iron & steel,0.774188697
SF6,switchgears,5.24540023
clinker,concrete & cement,4.661180414
aluminium (process),aluminium,0.366947309
